report_start,EUR,CHF,CZK,GBP,HRK,HUF
2013-01-01,1.2253400319,1.4792304865,30.8185271413,1,9.2605072908,358.1668913123
2013-02-01,1.1604966926,1.433329465,29.7528142045,1,8.8099106418,339.2944180109
2013-03-01,1.1564704522,1.4160980687,29.6946918006,1,8.7789984966,341.4247715971
2013-04-01,1.1825922422,1.4421712394,30.4399243141,1,8.9806054872,360.004730369
2013-05-01,1.1844131233,1.4494847803,30.5566741679,1,8.9902878124,355.466066564
2013-06-01,1.1714402858,1.4532888186,30.118901189,1,8.844374158,346.8751830375
2013-07-01,1.1678832117,1.4411678832,30.3416058394,1,8.6934890511,343.4394160584
2013-08-01,1.1504832029,1.4170501611,29.8607915324,1,8.6504832029,343.7988955361
2013-09-01,1.1710287488,1.4415363897,30.1364248492,1,8.8626968792,352.2220270508
2013-10-01,1.1983223487,1.4683043739,30.7333732774,1,9.1261833433,354.7872977831
2013-11-01,1.1815442784,1.4544810067,30.547645773,1,9.0033674012,350.33969398
2013-12-01,1.2008405884,1.4767937556,32.8922245572,1,9.1750225158,361.5731011708
2014-01-01,1.1994722322,1.4724721123,32.897924913,1,9.147774979,356.291231858
2014-02-01,1.2175077616,1.4877944847,33.4814634443,1,9.315760638,381.3964814026
2014-03-01,1.2102874433,1.4708623298,33.0940998487,1,9.2578517398,375.7337367625
2014-04-01,1.2059816691,1.4686444766,33.1029908345,1,9.2239507959,371.1890979257
2014-05-01,1.2150668287,1.482381531,33.3584447145,1,9.2439854192,373.7910085055
2014-06-01,1.2298610257,1.5009223958,33.7855122371,1,9.329725741,372.4142171935
2014-07-01,1.2529758176,1.5208620474,34.3728856033,1,9.4975566972,388.9612830472
2014-08-01,1.2561236026,1.5278231378,34.7167441276,1,9.5967843236,395.0383117699
2014-09-01,1.2654223347,1.5276178425,35.10028472,1,9.6342929453,397.6589686808
2014-10-01,1.2850167052,1.5512721665,35.3405294269,1,9.8207401696,398.7406836289
2014-11-01,1.2751036022,1.5386675167,35.4096270322,1,9.772394007,393.0634364042
2014-12-01,1.2615112905,1.5173457802,34.8505109121,1,9.6831083638,386.5649047559
2015-01-01,1.2838618565,1.5437154962,35.607908589,1,9.8318140968,405.1097701887
2015-02-01,1.3313806417,1.3936892558,37.008387698,1,10.2483024897,415.4307016376
2015-03-01,1.3740038472,1.4613904919,37.6999175598,1,10.5640285793,416.3643858203
